taxon,Code,KRUK_MBFG
Acanthoceras sp.,BacAca000_0000000,VI
Amphora sp.,BacAmp000_2630972,VI
Aphanizomenon sp.,CyaAph000_3219149,III
Asterionella formosa,BacAstfor_3192686,VI
Aulacoseira sp.,BacAul000_3191984,VI
Ceratium hirundinella,DinCerhir_7598904,V
Chloro_colonies,Chlcolony_0000000,I
Closterium aciculare,ZygCloaci_2646560,IV
Closterium acutum,ZygCloacu_2646408,IV
Closterium sp.,ZygClo000_2646356,IV
Eudorina sp,ChlEud000_0000000,VII
Coelastrum sp.,ChlCoe000_0000000,IV
Coelosphaerium sp.,CyaCoe000_3217114,I
Cosmarium sp.,ZygCos000_2648709,IV
Diatoma sp.,BacDia000_0000000,VI
Dictyospaerium sp.,TreDic000_2641996,I
Dinobryon sp.,ChrDin000_3194946,II
Dolichospermum lemmermannii,CyaDollem_7901634,III
Dolichospermum sp.,CyaDol000_5428755,III
Fragilaria crotonensis,BacFracro_3192403,VI
Gloeocapsa sp.,CyaGlo000_3217637,VII
Gloeotrichia echinulata,CyaGloech_0000000,III
Mallomonas sp.,ChrMal000_3195066,II
Microcystis sp.,CyaMic000_3217749,VII
Monoraphidium sp.,ChlMon000_0000000,IV
Navicula sp.,BacNav000_2634825,VI
Nitzschia sp.,BacNit000_2628185,VII
Pediastrum sp.,ChlPed000_2641883,IV
Staurastrum sp.,ConSta000_2647648,IV
Stephanodiscus sp.,BacSte000_3193250,VI
Synedra sp.,BacSyn000_3192703,VI
Tabellaria flocculosa,BacTabflo_3195704,VI
Volvox sp.,ChlVol000_2639376,VII
Woronichinia,CyaWor000_3216993,VII
