day,mesocosm,Treatment,frag_abund,frag_biovol,gloe_abund,gloe_biovol
0,1,C,0.000740740740740741,46.9449898148148,0.127777777777778,2771977.34320627
0,2,D,0.00224299065420561,73.5090246728972,0.20411214953271,4427955.03113064
0,3,I,0.0016,58.8434912,0.2264,4911461.7691453
0,4,E,0.00259259259259259,71.1962987037037,0.16037037037037,3479032.43364729
0,5,I,0.0012,56.6543193103448,0.1248,2707378.21903416
0,6,E,0.00222222222222222,90.3782631578947,0.180740740740741,3920941.86517293
0,7,C,0.000784313725490196,20.0985088474414,0.169803921568627,3683681.40033243
0,8,D,0.00148148148148148,70.4786,0.134444444444444,2916602.24806921
0,9,E,0.00407407407407407,184.750165343915,0.167777777777778,3639726.77238389
0,10,C,0.002,170.6552,0.1524,3306125.32516672
0,11,D,0.00296296296296296,76.1394783950617,0.166296296296296,3607587.90463657
0,12,I,0.00185185185185185,90.2821056241427,0.158148148148148,3430824.13202631
0,13,D,0.00185185185185185,48.3522183641975,0.136296296296296,2956775.83275336
0,14,I,0.00148148148148148,54.7788575498575,0.196666666666667,4266434.69345661
0,15,E,0.00233009708737864,77.3400582524272,0.198058252427184,4296623.38719014
0,16,C,0.00118811881188119,20.5984123471171,0.154455445544554,3350715.61761654
4,1,C,0.00888888888888889,310.967246031746,0.282222222222222,6122454.30586429
4,2,D,0.121869158878505,3179.01800485981,0.225420560747664,4890214.07284208
4,3,I,0.1672,3844.5012452,0.2104,4564361.99747426
4,4,E,0.0311111111111111,539.393306666667,0.295555555555556,6411704.11559016
4,5,I,0.1972,3914.3398382,0.2272,4928816.75772886
4,6,E,0.00666666666666667,NA,0.201481481481481,4370886.0136354
4,7,C,0.0305882352941176,530.502149411765,0.328235294117647,7120649.72766337
4,8,D,0.121851851851852,5061.53601981481,0.237777777777778,5158288.27344471
4,9,E,0.0292592592592593,953.737341750842,0.242592592592593,5262739.5936235
4,10,C,0.0148,609.929142857143,0.2736,5935406.09557489
4,11,D,0.101481481481481,4151.65469777778,0.216666666666667,4700309.40804542
4,12,I,0.116666666666667,2027.01805833333,0.108888888888889,2362206.77942795
4,13,D,0.111851851851852,4605.4686039604,0.17037037037037,3695969.7909417
4,14,I,0.227777777777778,3425.55193611111,0.186296296296296,4041462.61922538
4,15,E,0.0248543689320388,540.450038058253,0.293203883495146,6360687.56338932
4,16,C,0.0348514851485149,508.730474455446,0.242376237623762,5258046.04610595
12,1,C,0.094,3389.96162954545,0.4005,8688341.15964087
12,2,D,0.3165,12698.20930425,0.43,9328306.36365937
12,3,I,0.431,18594.3681505,0.3765,8167691.50213431
12,4,E,0.51,10705.588245,0.155,3362529.03806326
12,5,I,0.166,4621.775901,0.473,10261137.0000253
12,6,E,0.1195,1882.95355325,0.1275,2765951.30550365
12,7,C,0.192,4582.523712,0.372,8070069.69135182
12,8,D,0.844,33649.20179,0.504,10933642.807638
12,9,E,0.344,4387.59358,0.188,4078422.31713479
12,10,C,0.038,739.581175,0.44,9545243.72095377
12,11,D,0.393,17677.803384,0.654,14187703.167054
12,12,I,0.324,9925.102044,0.483,10478074.3573197
12,13,D,0.278,12256.393944,0.559,12126798.2727572
12,14,I,0.285,7408.9427925,0.429,9306612.62792993
12,15,E,0.29,9083.3539,0.183,3969953.63848759
12,16,C,0.2225,7135.93244625,0.4105,8905278.51693528
20,1,C,0.343,9404.4818735,0.378,8200232.10572847
20,2,D,0.177,6407.276454,0.628,13623666.0380886
20,3,I,0.079,2984.694655,0.559,12126798.2727572
20,4,E,0.136,7733.9188,0.045,976218.107824817
20,5,I,0.322,6556.327491,0.7,15185615.0106083
20,6,E,0.015,324.31749,0.066,1431786.55814307
20,7,C,0.046,1131.579185,0.3755,8145997.76640487
20,8,D,0.142,3014.418529,0.794,17224826.1691757
20,9,E,0.058,1409.799446,0.063,1366705.35095474
20,10,C,0.0555,831.31538025,0.3165,6866067.35836788
20,11,D,0.04,1220.7514,0.77,16704176.5116691
20,12,I,0.126,3980.39292,0.738,16009976.968327
20,13,D,0.21,9771.23931,0.778,16877726.3975046
20,14,I,0.196,6228.976334,0.604,13103016.380582
20,15,E,0.138,5238.837144,0.045,976218.107824817
20,16,C,0.1735,3122.12425875,0.365,7918213.54124574
28,1,C,0.072,2066.20754025974,0.325,7050464.11206813
28,2,D,0.01,525.34516,0.68,14751740.2960195
28,3,I,0.01,140.286854166667,0.586,12712529.1374521
28,4,E,0.018,420.398379,0.063,1366705.35095474
28,5,I,0.012,186.617598,0.8,17354988.5835523
28,6,E,0.003,41.333589,0.052,1128074.2579309
28,7,C,0.105,4179.82278,0.315,6833526.75477372
28,8,D,0.022,564.4716,0.99,21476798.372146
28,9,E,0.015,251.441604166667,0.048,1041299.31501314
28,10,C,0.244,3954.807998,0.237,5141415.36787737
28,11,D,0.02,473.8875,0.75,16270301.7970803
28,12,I,0.014,518.13405,0.722,15662877.196656
28,13,D,0.16,NA,0.966,20956148.7146394
28,14,I,0.056,NA,0.622,13493503.6237119
28,15,E,0.024,483.53916,0.037,802668.221989294
28,16,C,0.321,5384.7013305,0.444,9632018.66387153
36,1,C,0.005,62.7697735,0.168,3644547.60254599
36,2,D,0.078,666.2950655,0.396,8590719.34885839
36,3,I,NA,NA,0.618,13406728.6807942
36,4,E,0.037,455.159689,0.049,1062993.05074258
36,5,I,0.028,269.187578,0.674,14621577.8816428
36,6,E,0.009,27.48925925,0.053,1149767.99366034
36,7,C,0.003,43.54968375,0.144,3123897.94503942
36,8,D,0.138,1279.455125675,0.556,12061717.0655689
36,9,E,0.022,144.7851085,0.027,585730.86469489
36,10,C,0.845,4769.136689525,0.23,4989559.21777129
36,11,D,0.054,190.676236,0.202,4382134.61734696
36,12,I,0.004,36.98169,0.796,17268213.6406345
36,13,D,0.034,606.619297,0.746,16183526.8541625
36,14,I,0.016,165.8410135,0.596,12929466.4947465
36,15,E,0.102,606.3656835,0.032,694199.543342092
36,16,C,0.132,322.100956269231,0.32,6941995.43342092
