ExpDay,Treatment,mesocosm,Species,Genus,abund,size_fract,label,fun_grp,vol,biovolume
0,D,11,Rhodomonas,Rhodomonas,878.85,small,CryRho000_3202546,I,96.67765625,84965.1581953125
0,D,11,Cyclotella,Cyclotella,403.2,small,BacCyc000_3193095,VI,1359.03125,547961.4
0,D,11,Cryptomonas,Cryptomonas,72.45,small,CryCry000_3202413,V,1644.2243666,119124.05536017
0,D,11,Golenkinia radiata,Golenkinia,3.15,small,ChlGolrad_2641100,IV,1022.135417,3219.72656355
0,D,11,Merismopedia,Merismopedia,9.45,small,CyaMer000_0000000,I,57.9755208278333,547.868671823025
0,D,11,Chrysochromulina,Chrysochromulina,15.75,small,PryChr000_3202213,I,4353.10583333375,68561.4168750066
0,D,11,Quadrigula,Quadrigula,6.3,small,ChlQua000_2641259,IV,69.4288889,437.40200007
0,D,11,Chlamydomonas,Chlamydomonas,6.3,small,ChlChl000_5271004,I,512.692222223333,3229.961000007
0,E,9,Rhodomonas,Rhodomonas,647.854166666667,small,CryRho000_3202546,I,96.67765625,62633.0224251302
0,E,9,Cyclotella,Cyclotella,408.375,small,BacCyc000_3193095,VI,1359.03125,554994.38671875
0,E,9,Cryptomonas,Cryptomonas,85.7083333333333,small,CryCry000_3202413,V,1644.2243666,140923.730087342
0,E,9,Chrysochromulina,Chrysochromulina,2.52083333333333,small,PryChr000_3202213,I,4353.10583333375,10973.4542881955
0,E,9,Chlamydomonas,Chlamydomonas,70.5833333333333,small,ChlChl000_5271004,I,512.692222223333,36187.5260185969
0,E,9,Merismopedia,Merismopedia,17.6458333333333,small,CyaMer000_0000000,I,57.9755208278333,1023.02637794114
0,E,9,Koliella,Koliella,2.52083333333333,small,TreKollon_2638730,IV,129.794342216667,327.189904337847
0,I,12,Rhodomonas,Rhodomonas,425.618181818182,small,CryRho000_3202546,I,96.67765625,41147.7682755682
0,I,12,Cyclotella,Cyclotella,210.722727272727,small,BacCyc000_3193095,VI,1359.03125,286378.771448864
0,I,12,Cryptomonas,Cryptomonas,85.5409090909091,small,CryCry000_3202413,V,1644.2243666,140648.447068388
0,I,12,Chrysochromulina,Chrysochromulina,6.25909090909091,small,PryChr000_3202213,I,4353.10583333375,27246.4851477299
0,I,12,Chlamydomonas,Chlamydomonas,39.6409090909091,small,ChlChl000_5271004,I,512.692222223333,20323.5857727713
0,I,12,Golenkinia radiata,Golenkinia,2.08636363636364,small,ChlGolrad_2641100,IV,1022.135417,2132.54616546818
0,I,12,Tetraedron,Tetraedron,4.17272727272727,small,ChlTet000_2672378,IV,661.625,2760.78068181818
0,I,12,Oocystis,Oocystis,2.08636363636364,small,TreOoc000_2641454,IV,1180.14002970929,2462.20124380256
0,I,12,Merismopedia,Merismopedia,4.17272727272727,small,CyaMer000_0000000,I,57.9755208278333,241.916036908868
0,C,16,Rhodomonas,Rhodomonas,576.065217391304,small,CryRho000_3202546,I,96.67765625,55692.635064538
0,C,16,Cryptomonas,Cryptomonas,39.4565217391304,small,CryCry000_3202413,V,1644.2243666,64875.3744647609
0,C,16,Cyclotella,Cyclotella,220.95652173913,small,BacCyc000_3193095,VI,1359.03125,300286.817934783
0,C,16,Chlamydomonas,Chlamydomonas,55.2391304347826,small,ChlChl000_5271004,I,512.692222223333,28320.6725362933
0,C,16,Chrysochromulina,Chrysochromulina,76.2826086956522,small,PryChr000_3202213,I,4353.10583333375,332066.268894959
0,C,16,Merismopedia,Merismopedia,10.5217391304348,small,CyaMer000_0000000,I,57.9755208278333,610.003306101551
0,C,16,Elakatothrix gelatinosa,Elakatothrix,10.5217391304348,small,KleElagel_2641001,IV,157,1651.91304347826
0,C,1,Cryptomonas,Cryptomonas,70.06,small,CryCry000_3202413,V,1644.2243666,115194.359123996
0,C,1,Rhodomonas,Rhodomonas,474.6,small,CryRho000_3202546,I,96.67765625,45883.21565625
0,C,1,Cyclotella,Cyclotella,128.82,small,BacCyc000_3193095,VI,1359.03125,175070.405625
0,C,1,Chlamydomonas,Chlamydomonas,58.76,small,ChlChl000_5271004,I,512.692222223333,30125.7949778431
0,C,1,Chrysochromulina,Chrysochromulina,110.74,small,PryChr000_3202213,I,4353.10583333375,482062.939983379
0,C,1,Eudorina,Eudorina,2.26,small,ChlEud000_0000000,VII,678.5226,1533.461076
0,C,1,Desmodesmus,Desmodesmus,2.26,small,ChlDes000_2652440,IV,225.120555543333,508.772455527933
0,C,1,Merismopedia,Merismopedia,9.04,small,CyaMer000_0000000,I,57.9755208278333,524.098708283613
0,D,2,Rhodomonas,Rhodomonas,637.884615384615,small,CryRho000_3202546,I,96.67765625,61669.1895733173
0,D,2,Cyclotella,Cyclotella,235.480769230769,small,BacCyc000_3193095,VI,1359.03125,320025.724158654
0,D,2,Chrysochromulina,Chrysochromulina,95.3846153846154,small,PryChr000_3202213,I,4353.10583333375,415219.325641065
0,D,2,Quadrigula,Quadrigula,14.9038461538462,small,ChlQua000_2641259,IV,69.4288889,1034.75747879808
0,D,2,Cryptomonas,Cryptomonas,125.192307692308,small,CryCry000_3202413,V,1644.2243666,205844.242818577
0,D,2,Chlamydomonas,Chlamydomonas,83.4615384615385,small,ChlChl000_5271004,I,512.692222223333,42790.0816240244
0,D,2,Merismopedia,Merismopedia,23.8461538461538,small,CyaMer000_0000000,I,57.9755208278333,1382.49318897141
0,E,15,Merismopedia,Merismopedia,14.6130952380952,small,CyaMer000_0000000,I,57.9755208278333,847.201807335303
0,E,15,Rhodomonas,Rhodomonas,634.208333333333,small,CryRho000_3202546,I,96.67765625,61313.7752408854
0,E,15,Chrysochromulina,Chrysochromulina,75.9880952380952,small,PryChr000_3202213,I,4353.10583333375,330784.220644873
0,E,15,Cyclotella,Cyclotella,324.410714285714,small,BacCyc000_3193095,VI,1359.03125,440884.298549107
0,E,15,Chlamydomonas,Chlamydomonas,58.4523809523809,small,ChlChl000_5271004,I,512.692222223333,29968.081084721
0,E,15,Cryptomonas,Cryptomonas,37.9940476190476,small,CryCry000_3202413,V,1644.2243666,62470.7388809988
0,E,15,Quadrigula,Quadrigula,14.6130952380952,small,ChlQua000_2641259,IV,69.4288889,1014.57096577083
0,I,5,Rhodomonas,Rhodomonas,805.095588235294,small,CryRho000_3202546,I,96.67765625,77834.7545278033
0,I,5,Cyclotella,Cyclotella,252.720588235294,small,BacCyc000_3193095,VI,1359.03125,343455.176930147
0,I,5,Chlamydomonas,Chlamydomonas,176.904411764706,small,ChlChl000_5271004,I,512.692222223333,90697.5159887587
0,I,5,Chrysochromulina,Chrysochromulina,122.75,small,PryChr000_3202213,I,4353.10583333375,534343.741041718
0,I,5,Quadrigula,Quadrigula,36.1029411764706,small,ChlQua000_2641259,IV,69.4288889,2506.58709190441
0,I,5,Cryptomonas,Cryptomonas,108.308823529412,small,CryCry000_3202413,V,1644.2243666,178084.006764838
0,I,5,Merismopedia,Merismopedia,7.22058823529412,small,CyaMer000_0000000,I,57.9755208278333,418.617363624502
0,I,5,Oocystis,Oocystis,7.22058823529412,small,TreOoc000_2641454,IV,1180.14002970929,8521.30521451852
0,C,10,Rhodomonas,Rhodomonas,870.912,small,CryRho000_3202546,I,96.67765625,84197.73096
0,C,10,Cryptomonas,Cryptomonas,120.96,small,CryCry000_3202413,V,1644.2243666,198885.379383936
0,C,10,Cyclotella,Cyclotella,391.104,small,BacCyc000_3193095,VI,1359.03125,531522.558
0,C,10,Chlamydomonas,Chlamydomonas,72.576,small,ChlChl000_5271004,I,512.692222223333,37209.1507200806
0,C,10,Chrysochromulina,Chrysochromulina,80.64,small,PryChr000_3202213,I,4353.10583333375,351034.454400034
0,C,10,Merismopedia,Merismopedia,24.192,small,CyaMer000_0000000,I,57.9755208278333,1402.54379986694
0,C,10,Cosmarium,Cosmarium,4.032,small,ZygCos000_2648709,IV,12272.1666666667,49481.376
0,C,10,Quadrigula,Quadrigula,8.064,small,ChlQua000_2641259,IV,69.4288889,559.8745600896
0,E,6,Rhodomonas,Rhodomonas,619.52,small,CryRho000_3202546,I,96.67765625,59893.7416
0,E,6,Cryptomonas,Cryptomonas,129.066666666667,small,CryCry000_3202413,V,1644.2243666,212214.558249173
0,E,6,Chlamydomonas,Chlamydomonas,100.026666666667,small,ChlChl000_5271004,I,512.692222223333,51282.894014926
0,E,6,Chrysochromulina,Chrysochromulina,109.706666666667,small,PryChr000_3202213,I,4353.10583333375,477564.730622268
0,E,6,Cyclotella,Cyclotella,306.533333333333,small,BacCyc000_3193095,VI,1359.03125,416588.379166667
0,E,6,Quadrigula,Quadrigula,12.9066666666667,small,ChlQua000_2641259,IV,69.4288889,896.095526069333
0,E,6,Oocystis,Oocystis,22.5866666666667,small,TreOoc000_2641454,IV,1180.14002970929,26655.4294710337
0,E,6,Merismopedia,Merismopedia,19.36,small,CyaMer000_0000000,I,57.9755208278333,1122.40608322685
0,D,8,Cryptomonas,Cryptomonas,55.08,small,CryCry000_3202413,V,1644.2243666,90563.878112328
0,D,8,Chlamydomonas,Chlamydomonas,64.26,small,ChlChl000_5271004,I,512.692222223333,32945.6022000714
0,D,8,Rhodomonas,Rhodomonas,447.525,small,CryRho000_3202546,I,96.67765625,43265.6681132812
0,D,8,Cyclotella,Cyclotella,234.09,small,BacCyc000_3193095,VI,1359.03125,318135.6253125
0,D,8,Quadrigula,Quadrigula,11.475,small,ChlQua000_2641259,IV,69.4288889,796.6965001275
0,D,8,Chrysochromulina,Chrysochromulina,112.455,small,PryChr000_3202213,I,4353.10583333375,489528.516487547
0,D,8,Merismopedia,Merismopedia,9.18,small,CyaMer000_0000000,I,57.9755208278333,532.21528119951
0,D,8,Tetraedron,Tetraedron,2.295,small,ChlTet000_2672378,IV,661.625,1518.429375
0,D,8,Oocystis,Oocystis,2.295,small,TreOoc000_2641454,IV,1180.14002970929,2708.42136818281
0,I,3,Cryptomonas,Cryptomonas,116.25,small,CryCry000_3202413,V,1644.2243666,191141.08261725
0,I,3,Chlamydomonas,Chlamydomonas,155,small,ChlChl000_5271004,I,512.692222223333,79467.2944446167
0,I,3,Rhodomonas,Rhodomonas,584.772727272727,small,CryRho000_3202546,I,96.67765625,56534.4567116477
0,I,3,Cyclotella,Cyclotella,440.340909090909,small,BacCyc000_3193095,VI,1359.03125,598437.056107955
0,I,3,Chrysochromulina,Chrysochromulina,151.477272727273,small,PryChr000_3202213,I,4353.10583333375,659396.599526578
0,I,3,Merismopedia,Merismopedia,7.04545454545455,small,CyaMer000_0000000,I,57.9755208278333,408.463896741553
0,I,3,Quadrigula,Quadrigula,14.0909090909091,small,ChlQua000_2641259,IV,69.4288889,978.316161772727
0,I,3,Tetraedron,Tetraedron,3.52272727272727,small,ChlTet000_2672378,IV,661.625,2330.72443181818
0,I,14,Cryptomonas,Cryptomonas,62.7388888888889,small,CryCry000_3202413,V,1644.2243666,103156.809844521
0,I,14,Rhodomonas,Rhodomonas,529.188888888889,small,CryRho000_3202546,I,96.67765625,51160.7414913195
0,I,14,Cyclotella,Cyclotella,433.716666666667,small,BacCyc000_3193095,VI,1359.03125,589434.503645833
0,I,14,Chrysochromulina,Chrysochromulina,73.65,small,PryChr000_3202213,I,4353.10583333375,320606.244625031
0,I,14,Quadrigula,Quadrigula,35.4611111111111,small,ChlQua000_2641259,IV,69.4288889,2462.02554360389
0,I,14,Chlamydomonas,Chlamydomonas,60.0111111111111,small,ChlChl000_5271004,I,512.692222223333,30767.2299136469
0,I,14,Merismopedia,Merismopedia,13.6388888888889,small,CyaMer000_0000000,I,57.9755208278333,790.721686846282
0,I,14,Ankyra judayi,Ankyra,2.72777777777778,small,ChlAnkjud_2642105,IV,112.8306667,307.776985276111
0,E,4,Cryptomonas,Cryptomonas,87.8888888888889,small,CryCry000_3202413,V,1644.2243666,144509.052664511
0,E,4,Rhodomonas,Rhodomonas,455.138888888889,small,CryRho000_3202546,I,96.67765625,44001.7610460069
0,E,4,Chrysochromulina,Chrysochromulina,78.4722222222222,small,PryChr000_3202213,I,4353.10583333375,341597.888310218
0,E,4,Chlamydomonas,Chlamydomonas,94.1666666666667,small,ChlChl000_5271004,I,512.692222223333,48278.5175926972
0,E,4,Cyclotella,Cyclotella,404.916666666667,small,BacCyc000_3193095,VI,1359.03125,550294.403645833
0,E,4,Quadrigula,Quadrigula,15.6944444444444,small,ChlQua000_2641259,IV,69.4288889,1089.64783968056
0,D,13,Rhodomonas,Rhodomonas,553.349206349206,small,CryRho000_3202546,I,96.67765625,53496.5043576389
0,D,13,Chlamydomonas,Chlamydomonas,179.253968253968,small,ChlChl000_5271004,I,512.692222223333,91902.1153264778
0,D,13,Cyclotella,Cyclotella,736.5,small,BacCyc000_3193095,VI,1359.03125,1000926.515625
0,D,13,Chrysochromulina,Chrysochromulina,66.2460317460317,small,PryChr000_3202213,I,4353.10583333375,288375.987228864
0,D,13,Cryptomonas,Cryptomonas,54.5555555555556,small,CryCry000_3202413,V,1644.2243666,89701.5737778444
0,D,13,Merismopedia,Merismopedia,15.5873015873016,small,CyaMer000_0000000,I,57.9755208278333,903.681927824323
0,D,13,Quadrigula,Quadrigula,15.5873015873016,small,ChlQua000_2641259,IV,69.4288889,1082.20903015556
0,D,13,Desmodesmus,Desmodesmus,7.79365079365079,small,ChlDes000_2652440,IV,225.120555543333,1754.51099637741
0,D,13,Elakatothrix gelatinosa,Elakatothrix,3.8968253968254,small,KleElagel_2641001,IV,157,611.801587301587
20,C,7,Merismopedia,Merismopedia,70.7264150943396,small,CyaMer000_0000000,I,57.9755208278333,4100.40075137987
20,C,7,Rhodomonas,Rhodomonas,118.358490566038,small,CryRho000_3202546,I,96.67765625,11442.6214652123
20,C,7,Cyclotella,Cyclotella,242.490566037736,small,BacCyc000_3193095,VI,1359.03125,329552.257075472
20,C,7,Cryptomonas,Cryptomonas,7.21698113207547,small,CryCry000_3202413,V,1644.2243666,11866.3362306509
