Paff,Iaff,mu,Code
1.79196309,1.581267035,0.794048491,BacAca000_0000000
3.306102871,1.290375188,0.421235179,TreAcazac_6135987
4.946147381,0.778433658,0.53854571,BacAmp000_2630972
1.867176109,2.418308396,0.029558802,CyaAph000_3219149
4.209590997,0.778433658,0.484720413,BacAstfor_3192686
4.315310523,2.187402839,0.592335769,BacAul000_3191984
4.522770476,-0.770108222,-1.537098105,DinCerhir_7598904
NA,NA,NA,Chlcolony_0000000
4.155679371,-0.711216704,-0.21940896,ZygCloacu_2646408
4.155679371,-0.711216704,-0.21940896,ZygCloaci_2646560
4.155679371,-0.711216704,-0.21940896,ZygClo000_2646356
1.769854634,0.347536462,0.222049503,ChlCoe000_0000000
NA,NA,NA,CyaCoe000_3217114
4.155679371,-0.364643114,-0.21940896,ZygCos000_2648709
4.277624994,0.778433658,0.050481022,BacDia000_0000000
NA,NA,NA,TreDic000_2641996
3.772900472,0.599283007,-0.3042841645,ChrDin000_3194946
1.867176109,1.148340634,0.211263741,CyaDollem_7901634
1.867176109,1.370235929,0.211263741,CyaDol000_5428755
0.391365683,0.866565712,-0.142922105,ChlEud000_0000000
3.974479127,0.676810761,0.270163072,BacFracro_3192403
NA,NA,NA,CyaGlo000_3217637
NA,NA,NA,CyaGloech_0000000
6.499299811,0.599283007,-1.086142062,ChrMal000_3195066
0.262364264,1.277584622,-0.8811441005,CyaMic000_3217749
0.412109651,-0.018069523,0.634306681,ChlMon000_0000000
4.946147381,0.778433658,0.53854571,BacNav000_2634825
4.8934755575,0.428839415,0.749222008666667,BacNit000_2628185
1.702928256,-0.54696467,-0.663782021,ChlPed000_2641883
1.693779061,1.5204585825,-0.471659702,CyaPla000_3218374
4.155679371,-1.057790294,-0.219408960166667,ZygSta000_2647648
2.020587958,1.581267035,0.870334889,BacSte000_3193250
5.932624047,1.250369363,0.405465108,BacSyn000_3192703
4.345658991,0.778433658,-0.166638673,BacTabflo_3195704
0.391365683,0.866565712,-0.142922105,ChlVol000_2639376
1.379274624,1.611826102,0.251320563,CyaWor000_3216993
